"lang_key","group","key","value"
"en","front_setting","bottom_banners","Bottom Banners"
"en","front_setting","top_banners_1","Top Banner 1"
"en","front_setting","top_banners_2","Top Banner 2"
"en","front_setting","top_banners_3","Top Banner 3"
"en","front_setting","add_to_cart","Add To Cart"
"en","front_setting","footer_company_description","Footer Company Description"
"en","front_setting","useful_links","Useful Links"
"en","front_setting","pages","Pages"
"en","front_setting","contact","Contact"
"en","front_setting","all_categories","All Categories"
"en","front_setting","no_results","No Results"
"en","front_setting","seo_keywords","SEO Keywords"
"en","front_setting","seo_description","SEO Description"
"en","stock_adjustment","add","Add New Adjustment"
"en","stock_adjustment","edit","Edit Adjustment"
"en","stock_adjustment","details","Adjustment Details"
"en","stock_adjustment","created","Adjustment Created Successfully"
"en","stock_adjustment","updated","Adjustment Updated Successfully"
"en","stock_adjustment","deleted","Adjustment Deleted Successfully"
"en","stock_adjustment","delete_message","Are you sure you want to delete this stock adjustment?"
"en","stock_adjustment","notes","Notes"
"en","stock_adjustment","current_stock","Current Stock"
"en","stock_adjustment","quantity","Quantity"
"en","stock_adjustment","adjustment_type","Adjustment Type"
"en","stock_adjustment","adjustment_add","Add"
"en","stock_adjustment","adjustment_subtract","Subtract"
"en","stock_transfer","add","Add New Transfer"
"en","stock_transfer","edit","Edit Transfer"
"en","stock_transfer","details","Transfer Details"
"en","stock_transfer","created","Transfer Created Successfully"
"en","stock_transfer","updated","Transfer Updated Successfully"
"en","stock_transfer","deleted","Transfer Deleted Successfully"
"en","stock_transfer","delete_message","Are you sure you want to delete this stock adjustment?"
"en","stock_transfer","stock_transfer_date","Stock Transfer Date"
"en","stock_transfer","stock_transfer_status","Stock Transfer Status"
"en","stock_transfer","from_warehouse","From Warehouse"
"en","stock_transfer","to_warehouse","To Warehouse"
"en","stock_transfer","warehouse","Warehouse"
"en","stock_transfer","products","Products"
"en","stock_transfer","notes","Notes"
"en","stock_transfer","quantity","Quantity"
"en","stock_transfer","created_by","Created By"
"en","stock_transfer","received","Received"
"en","stock_transfer","transfered","Transfered"
"en","database_backup","file","File"
"en","database_backup","file_size","File Size"
"en","database_backup","generate_backup","Generate Backup"
"en","database_backup","delete_backup","Delete Backup"
"en","database_backup","backup_generated_successfully","Backup Generated Successfully"
"en","database_backup","are_you_sure_generate_backup","Are you sure you want to generate database backup?"
"en","database_backup","are_you_sure_delete_backup","Are you sure you want to delete this database backup?"
"en","database_backup","backup_locaion_is","All generated database file will be stored in storage/app/public/backup folder. "
"en","database_backup","settings","Command Settings"
"en","database_backup","backup_command_setting","Backup Command Settings"
"en","database_backup","mysqldump_command_path","mysqldump command path"
"en","database_backup","command_updated","Command updated successfully"
"en","database_backup","window_command_path","If you use XAMPP then it will be => C:\xampp\mysql\bin\mysqldump.exe"
"en","database_backup","laragon_command_path","If you use Laragon then it will be => C:\laragon\bin\mysql\mysql-5.7.24-winx64\bin\mysqldump.exe"
"en","database_backup","linux_command_path","If you are on ubuntu or mac then run following command and enter output here => which mysqldump"
"en","messages","product_out_of_stock","Product is out of stock. Current Stock is {0} while required stock is {1}."
"en","messages","leave_blank_to_create_parent_category","Leave it blank to create parent category"
"en","messages","somehing_went_wrong","Something went wrong. Please contact to administrator."
"en","messages","verify_success","Successfully verified. Redirect to app..."
"en","messages","login_success","Successfully login. Redirect to app..."
"en","messages","login_success_dashboard","Successfully logged into app."
"en","messages","click_here_to_find_purchase_code","Click here to find your purchase code"
"en","messages","verification_successfull","Verification successfully"
"en","messages","other_domain_linked","Other domain linked"
"en","messages","other_domain_linked_with_purchase_code","Other domain is already linked with your purchase code. Please enter your purchase code for more details..."
"en","messages","first_verify_module_message","To enable please \n verify this module"
"en","messages","are_you_sure_install_message","Are you sure you want to install?"
"en","messages","downloading_started_message","Downloading started. Please wait ..."
"en","messages","file_extracting_message","File extracteding. Please wait ..."
"en","messages","installation_success","Installation successfully. Click here to reload page..."
"en","messages","are_you_sure_update_message","Are you sure you want to update? Please take backup before update."
"en","messages","stmp_success_message","Your SMTP settings are correct.."
"en","messages","stmp_error_message","Your SMTP settings are incorrect. Please update it to send mails"
"en","messages","uploading_failed","Uploading failed"
"en","messages","loading_app_message","Please wait... we are preparing something amazing for you"
"en","messages","fetching_product_details","We are fetching product details. Please wait..."
"en","messages","product_is_upto_date","You are on the latest version of app."
"en","messages","new_app_version_avaialbe","New app version {0} is available. Please update to get latest version."
"en","messages","not_able_to_edit_order","Only order status editable, other fields can not be editable becuase this order linked to some payments. Delete those payment(s) and try again."
"en","messages","click_here_to_download_sample_file","Click here to download sample csv file"
"en","messages","imported_successfully","Imported Successfully"
"en","messages","company_admin_password_message","Admin will login using this password. (Leave blank to keep current password)"
"en","messages","email_setting_not_configured","Email setting not configured"
"en","messages","please_configure_email_settings","Please configure your email settings to send emails. Click Here to configure email settings."
"en","popover","quantitiy_alert","After this stock quanity it will enable low stock warning."
"en","popover","auto_detect_timezone","Allow auto detect timezone from browser for currently logged in user."
"en","popover","click_here_to_copy_credentials","Click here to copy {0} credentials"
"en","invoice","purchase_invoice","Purchase Invoice"
"en","invoice","purchase_return_invoice","Purchase Return Invoice"
"en","invoice","sales_invoice","Sales Invoice"
"en","invoice","sales_return_invoice","Sales Return Invoice"
"en","invoice","invoice","Invoice"
"en","invoice","order_date","Date"
"en","invoice","order_status","Status"
"en","invoice","payment_status","Payment Status"
"en","invoice","bill_to","Bill To"
"en","invoice","product","Product"
"en","invoice","unit_price","Unit Price"
"en","invoice","quantity","Quantity"
"en","invoice","total","Total"
"en","invoice","notes","Notes"
"en","invoice","subtotal","Subtotal"
"en","invoice","tax","Tax"
"en","invoice","discount","Discount"
"en","invoice","shipping","Shipping"
"en","invoice","total_items","Total Items"
"en","invoice","qty","Qty"
"en","invoice","paid_amount","Paid Amount"
"en","invoice","due_amount","Due Amount"
"en","invoice","thanks_message","Thank You For Shopping With Us. Please Come Again"
"en","front","home","Home"
"en","front","profile","Profile"
"en","front","dashboard","Dashboard"
"en","front","my_orders","My Orders"
"en","front","my_profile","My Profile"
"en","front","logout","Logout"
"en","front","total_orders","Total Orders"
"en","front","pending_orders","Pending Orders"
"en","front","processing_orders","Processing Orders"
"en","front","completed_orders","Completed Orders"
"en","front","recent_orders","Recent Orders"
"en","front","order_history","Order History"
"en","front","profile_settings","Profile Settings"
"en","front","select_shipping_address","Select Shipping Address"
"en","front","checkout_page","Checkout Page"
"en","front","address_details","Address Details"
"en","front","payment_details","Payment Details"
"en","front","add_new_address","Add New Address"
"en","front","cash_on_delivery","Cash On Delivery"
"en","front","continue_shopping","Continue Shopping"
"en","front","confirm_order","Confirm Order"
"en","front","confirm_order_message","Are you sure you want to confirm this order?"
"en","front","order_placed","Order placeded."
"en","front","order_placed_message","Order placed successfully."
"en","front","all_orders","All Orders"
"en","front","follow_us","Follow Us"
"en","front","categories","Categories"
"en","front","pages","Pages"
"en","front","address_deleted","Address Deleted"
"en","front","address_saved","Address Saved"
"en","front","address_delete_message","Are you sure you want to delete this address?"
"en","front","setting_updated_successfully","Setting updated successfully"
"en","front","login","Login"
"en","front","login_using_email_password","Login using email and password"
"en","front","logged_in_successfully","Logged in successfully"
"en","front","dont_have_account","Don't have account?"
"en","front","signup","Signup"
"en","front","signup_using_email_password","Signup using email & password"
"en","front","already_have_account","Already have account"
"en","front","register_successfully","Registered successfully"
"en","front","click_here_to_login","Click here to login"
"en","topbar_add_button","add_staff_member","Add Staff Member"
"en","topbar_add_button","add_customer","Add Customer"
"en","topbar_add_button","add_supplier","Add Supplier"
"en","topbar_add_button","add_brand","Add Brand"
"en","topbar_add_button","add_category","Add Category"
"en","topbar_add_button","add_product","Add Product"
"en","topbar_add_button","add_sales","Add Sales"
"en","topbar_add_button","add_purchase","Add Purchase"
"en","topbar_add_button","add_expense_cateogory","Add Expense Category"
"en","topbar_add_button","add_expense","Add Expense"
"en","topbar_add_button","add_currency","Add Currency"
"en","topbar_add_button","add_warehouse","Add Warehouse"
"en","topbar_add_button","add_unit","Add Unit"
"en","topbar_add_button","add_language","Add Language"
"en","topbar_add_button","add_role","Add Role"
"en","topbar_add_button","add_tax","Add Tax"
"en","topbar_add_button","add_payment_mode","Add Payment Mode"
"en","translations","import_translations","Import Translations"
